player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
George Springer,543807,2022,79,78,74,65,81,72,56,43,63,76,65,24,76,76
Kyle Farmer,571657,2022,45,69,40,26,52,29,15,6,16,77,17,83,36,28
Luis Barrera,642456,2022,,,,,,,,,,,,,81,
Nick Maton,665155,2022,,,,,,,,,,,,,33,
Andrelton Simmons,592743,2022,,,,,,,,,,,,,35,
LaMonte Wade Jr.,664774,2022,,,,,,,,,,,,,20,
José Iglesias,578428,2022,12,80,6,1,33,1,1,1,4,95,1,98,78,48
Connor Joe,656582,2022,45,39,13,11,81,16,18,5,16,52,90,72,37,17
Jeimer Candelario,600869,2022,22,22,38,52,10,51,54,16,21,36,20,45,48,8
Anthony Rizzo,519203,2022,84,35,81,88,87,78,76,57,56,69,79,60,14,18
Lane Thomas,657041,2022,16,16,24,34,14,41,37,10,20,31,43,72,95,19
Eugenio Suárez,553993,2022,75,12,81,94,53,93,94,66,69,5,88,8,17,50
Anthony Rendon,543685,2022,,,,,,,,,,,,,25,
Yoshi Tsutsugo,660294,2022,,,,,,,,,,,,,21,
Juan Yepez,660766,2022,,,,,,,,,,,,,38,
Reese McGuire,624512,2022,,,,,,,,,,,,,20,
Jorge Alfaro,595751,2022,,,,,,,,,,,,,85,
Albert Pujols,405395,2022,94,74,94,96,83,60,85,86,86,84,48,71,1,
Tim Anderson,641313,2022,78,99,74,35,78,20,29,37,57,84,5,58,76,27
Eric Haase,606992,2022,33,35,50,60,20,31,59,25,63,13,32,9,65,
Nick Ahmed,605113,2022,,,,,,,,,,,,,67,
Zack Collins,641470,2022,,,,,,,,,,,,,3,
Spencer Steer,668715,2022,,,,,,,,,,,,,51,
José Azocar,640492,2022,,,,,,,,,,,,,96,94
Corey Dickerson,572816,2022,,,,,,,,,,,,,41,
Austin Nola,543592,2022,37,64,18,9,66,3,5,57,47,87,55,95,30,
Mike Brosseau,670712,2022,,,,,,,,,,,,,59,
Nick Gordon,624503,2022,69,72,86,80,39,57,61,80,74,34,7,28,61,31
Harold Castro,605612,2022,51,88,67,47,34,34,32,14,14,71,3,79,25,1
Trent Grisham,663757,2022,23,4,20,49,31,45,53,38,25,11,83,39,87,99
Marcus Semien,543760,2022,38,42,47,51,30,74,41,18,22,79,39,76,89,95
Alcides Escobar,444876,2022,,,,,,,,,,,,,72,
Alex Call,669743,2022,,,,,,,,,,,,,78,
David Villar,681584,2022,,,,,,,,,,,,,35,
Kris Bryant,592178,2022,,,,,,,,,,,,,50,
Jarred Kelenic,672284,2022,,,,,,,,,,,,,47,
Bubba Thompson,669352,2022,,,,,,,,,,,,,100,
Aledmys Díaz,649557,2022,,,,,,,,,,,,,59,81
Yadiel Hernandez,628450,2022,,,,,,,,,,,,,14,
Eloy Jiménez,650391,2022,,,,,,,,,,,,,16,
Yonathan Daza,602074,2022,41,95,18,2,70,2,3,1,2,91,25,86,73,22
Jordan Diaz,672478,2022,,,,,,,,,,,,,24,
Peyton Burdick,680814,2022,,,,,,,,,,,,,72,
Josh Jung,673962,2022,,,,,,,,,,,,,39,
Mike Moustakas,519058,2022,,,,,,,,,,,,,8,
Jo Adell,666176,2022,,,,,,,,,,,,,98,17
Chris Taylor,621035,2022,9,2,13,42,9,45,70,20,38,1,67,1,83,82
Jared Walsh,665120,2022,11,14,31,46,6,51,63,72,65,7,19,30,18,46
Teoscar Hernández,606192,2022,86,78,95,95,45,93,94,96,98,12,25,5,84,14
Phil Gosselin,594838,2022,,,,,,,,,,,,,87,
Jermaine Palacios,650339,2022,,,,,,,,,,,,,78,
Matt Carpenter,572761,2022,,,,,,,,,,,,,22,
Tucker Barnhart,571466,2022,,,,,,,,,,,,,1,
Austin Hedges,595978,2022,,,,,,,,,,,,,5,
Eric Hosmer,543333,2022,45,69,38,24,61,25,29,39,47,86,57,85,18,30
Ji-Man Choi,596847,2022,72,29,61,70,84,54,84,93,88,9,96,9,8,75
Geraldo Perdomo,672695,2022,4,6,1,1,31,3,4,3,2,53,74,87,48,80
Hunter Dozier,641531,2022,31,39,43,44,24,47,49,41,42,25,32,20,64,6
Brendan Rodgers,663898,2022,62,78,54,39,66,60,45,69,80,74,47,61,34,82
Dermis Garcia,660650,2022,,,,,,,,,,,,,52,
Alan Trejo,676701,2022,,,,,,,,,,,,,35,
Charles Leblanc,641779,2022,,,,,,,,,,,,,69,
Jacob Stallings,607732,2022,7,14,3,7,20,6,8,10,11,45,43,61,1,
Josh Donaldson,518626,2022,29,7,31,55,32,67,66,81,68,15,72,8,16,90
